id_employe;id_projet;role_dans_projet;date_affectation;date_fin_affectation;observations
1;1;Architecte principal;02/01/2024;02/11/2024;
3;1;Ingénieur génie civil;01/02/2024;02/11/2024;
7;1;Dessinateur architectural;01/02/2024;15/05/2024;
2;2;Architecte principal;06/01/2024;05/11/2024;
11;2;Chef de projet;06/01/2024;05/11/2024;
3;2;Ingénieur génie civil;05/02/2024;05/11/2024;
4;2;Ingénieur structure;05/02/2024;05/11/2024;
6;2;Dessinateur technique;05/02/2024;19/05/2024;
7;2;Dessinateur architectural;05/02/2024;19/05/2024;
8;2;Topographe;06/01/2024;19/05/2024;
1;3;Architecte principal;09/01/2024;08/11/2024;
3;3;Ingénieur génie civil;08/02/2024;08/11/2024;
7;3;Dessinateur architectural;08/02/2024;22/05/2024;
9;4;Architecte principal;12/02/2024;12/12/2024;
11;4;Chef de projet;12/02/2024;12/12/2024;
3;4;Ingénieur génie civil;13/03/2024;12/12/2024;
4;4;Ingénieur structure;13/03/2024;12/12/2024;
10;4;Ingénieur réseaux et fluides;28/03/2024;12/12/2024;
6;4;Dessinateur technique;13/03/2024;25/06/2024;
7;4;Dessinateur architectural;13/03/2024;25/06/2024;
8;4;Topographe;12/02/2024;25/06/2024;
12;4;Métreur;25/06/2024;12/12/2024;
1;5;Architecte principal;15/02/2024;15/12/2024;
5;5;Chef de projet;15/02/2024;15/12/2024;
3;5;Ingénieur génie civil;16/03/2024;15/12/2024;
7;5;Dessinateur architectural;16/03/2024;28/06/2024;
2;6;Architecte principal;18/02/2024;18/12/2024;
11;6;Chef de projet;18/02/2024;18/12/2024;
3;6;Ingénieur génie civil;19/03/2024;18/12/2024;
4;6;Ingénieur structure;19/03/2024;18/12/2024;
6;6;Dessinateur technique;19/03/2024;01/07/2024;
7;6;Dessinateur architectural;19/03/2024;01/07/2024;
8;6;Topographe;18/02/2024;01/07/2024;
1;7;Architecte principal;21/03/2024;19/01/2025;
3;7;Ingénieur génie civil;19/04/2024;19/01/2025;
7;7;Dessinateur architectural;19/04/2024;02/08/2024;
2;8;Architecte principal;24/03/2024;22/01/2025;
11;8;Chef de projet;24/03/2024;22/01/2025;
3;8;Ingénieur génie civil;22/04/2024;22/01/2025;
4;8;Ingénieur structure;22/04/2024;22/01/2025;
10;8;Ingénieur réseaux et fluides;07/05/2024;22/01/2025;
6;8;Dessinateur technique;22/04/2024;05/08/2024;
7;8;Dessinateur architectural;22/04/2024;05/08/2024;
8;8;Topographe;24/03/2024;05/08/2024;
12;8;Métreur;05/08/2024;22/01/2025;
1;9;Architecte principal;27/03/2024;25/01/2025;
3;9;Ingénieur génie civil;25/04/2024;25/01/2025;
7;9;Dessinateur architectural;25/04/2024;08/08/2024;
9;10;Architecte principal;02/04/2024;31/01/2025;
5;10;Chef de projet;02/04/2024;31/01/2025;
3;10;Ingénieur génie civil;02/05/2024;31/01/2025;
4;10;Ingénieur structure;02/05/2024;31/01/2025;
6;10;Dessinateur technique;02/05/2024;15/08/2024;
2;11;Architecte principal;05/04/2024;03/02/2025;
11;11;Chef de projet;05/04/2024;03/02/2025;
3;11;Ingénieur génie civil;05/05/2024;03/02/2025;
4;11;Ingénieur structure;05/05/2024;03/02/2025;
10;11;Ingénieur réseaux et fluides;20/05/2024;03/02/2025;
6;11;Dessinateur technique;05/05/2024;18/08/2024;
7;11;Dessinateur architectural;05/05/2024;18/08/2024;
8;11;Topographe;05/04/2024;18/08/2024;
12;11;Métreur;18/08/2024;03/02/2025;
1;12;Architecte principal;08/04/2024;06/02/2025;
3;12;Ingénieur génie civil;08/05/2024;06/02/2025;
6;12;Dessinateur technique;08/05/2024;21/08/2024;
2;13;Architecte principal;11/05/2024;11/03/2025;
11;13;Chef de projet;11/05/2024;11/03/2025;
3;13;Ingénieur génie civil;10/06/2024;11/03/2025;
4;13;Ingénieur structure;10/06/2024;11/03/2025;
10;13;Ingénieur réseaux et fluides;25/06/2024;11/03/2025;
6;13;Dessinateur technique;10/06/2024;23/09/2024;
7;13;Dessinateur architectural;10/06/2024;23/09/2024;
8;13;Topographe;11/05/2024;23/09/2024;
12;13;Métreur;23/09/2024;11/03/2025;
2;14;Architecte principal;14/05/2024;14/03/2025;
5;14;Chef de projet;14/05/2024;14/03/2025;
3;14;Ingénieur génie civil;13/06/2024;14/03/2025;
4;14;Ingénieur structure;13/06/2024;14/03/2025;
6;14;Dessinateur technique;13/06/2024;26/09/2024;
2;15;Architecte principal;17/05/2024;17/03/2025;
3;15;Ingénieur génie civil;16/06/2024;17/03/2025;
7;15;Dessinateur architectural;16/06/2024;29/09/2024;
1;16;Architecte principal;24/01/2025;24/11/2025;
3;16;Ingénieur génie civil;23/02/2025;24/11/2025;
6;16;Dessinateur technique;23/02/2025;07/06/2025;
2;17;Architecte principal;01/01/2025;01/11/2025;
5;17;Chef de projet;01/01/2025;01/11/2025;
3;17;Ingénieur génie civil;31/01/2025;01/11/2025;
7;17;Dessinateur architectural;31/01/2025;15/05/2025;
1;18;Architecte principal;06/02/2025;07/12/2025;
3;18;Ingénieur génie civil;08/03/2025;07/12/2025;
6;18;Dessinateur technique;08/03/2025;20/06/2025;
9;19;Architecte principal;11/02/2025;12/12/2025;
11;19;Chef de projet;11/02/2025;12/12/2025;
3;19;Ingénieur génie civil;13/03/2025;12/12/2025;
4;19;Ingénieur structure;13/03/2025;12/12/2025;
10;19;Ingénieur réseaux et fluides;28/03/2025;12/12/2025;
6;19;Dessinateur technique;13/03/2025;25/06/2025;
7;19;Dessinateur architectural;13/03/2025;25/06/2025;
8;19;Topographe;11/02/2025;25/06/2025;
12;19;Métreur;25/06/2025;12/12/2025;
9;20;Architecte principal;16/03/2025;14/01/2026;
11;20;Chef de projet;16/03/2025;14/01/2026;
3;20;Ingénieur génie civil;14/04/2025;14/01/2026;
4;20;Ingénieur structure;14/04/2025;14/01/2026;
10;20;Ingénieur réseaux et fluides;29/04/2025;14/01/2026;
6;20;Dessinateur technique;14/04/2025;28/07/2025;
7;20;Dessinateur architectural;14/04/2025;28/07/2025;
8;20;Topographe;16/03/2025;28/07/2025;
12;20;Métreur;28/07/2025;14/01/2026;
9;21;Architecte principal;21/03/2025;19/01/2026;
11;21;Chef de projet;21/03/2025;19/01/2026;
3;21;Ingénieur génie civil;19/04/2025;19/01/2026;
4;21;Ingénieur structure;19/04/2025;19/01/2026;
6;21;Dessinateur technique;19/04/2025;02/08/2025;
7;21;Dessinateur architectural;19/04/2025;02/08/2025;
8;21;Topographe;21/03/2025;02/08/2025;
1;22;Architecte principal;26/04/2025;;
3;22;Ingénieur génie civil;26/05/2025;;
6;22;Dessinateur technique;26/05/2025;08/09/2025;
9;23;Architecte principal;03/04/2025;;
11;23;Chef de projet;03/04/2025;;
3;23;Ingénieur génie civil;03/05/2025;;
4;23;Ingénieur structure;03/05/2025;;
6;23;Dessinateur technique;03/05/2025;16/08/2025;
7;23;Dessinateur architectural;03/05/2025;16/08/2025;
8;23;Topographe;03/04/2025;16/08/2025;
2;24;Architecte principal;08/05/2025;;
5;24;Chef de projet;08/05/2025;;
3;24;Ingénieur génie civil;07/06/2025;;
6;24;Dessinateur technique;07/06/2025;20/09/2025;
1;25;Architecte principal;13/05/2025;;
3;25;Ingénieur génie civil;12/06/2025;;
7;25;Dessinateur architectural;12/06/2025;25/09/2025;
1;26;Architecte principal;18/06/2025;;
5;26;Chef de projet;18/06/2025;;
3;26;Ingénieur génie civil;18/07/2025;;
6;26;Dessinateur technique;18/07/2025;31/10/2025;
2;27;Architecte principal;23/06/2025;;
11;27;Chef de projet;23/06/2025;;
3;27;Ingénieur génie civil;23/07/2025;;
4;27;Ingénieur structure;23/07/2025;;
10;27;Ingénieur réseaux et fluides;07/08/2025;;
6;27;Dessinateur technique;23/07/2025;05/11/2025;
7;27;Dessinateur architectural;23/07/2025;05/11/2025;
8;27;Topographe;23/06/2025;05/11/2025;
12;27;Métreur;05/11/2025;;
1;28;Architecte principal;07/01/2026;;
5;28;Chef de projet;07/01/2026;;
3;28;Ingénieur génie civil;06/02/2026;;
6;28;Dessinateur technique;06/02/2026;21/05/2026;
9;29;Architecte principal;14/01/2026;;
5;29;Chef de projet;14/01/2026;;
3;29;Ingénieur génie civil;13/02/2026;;
4;29;Ingénieur structure;13/02/2026;;
7;29;Dessinateur architectural;13/02/2026;28/05/2026;
2;30;Architecte principal;21/01/2026;;
11;30;Chef de projet;21/01/2026;;
3;30;Ingénieur génie civil;20/02/2026;;
4;30;Ingénieur structure;20/02/2026;;
6;30;Dessinateur technique;20/02/2026;04/06/2026;
7;30;Dessinateur architectural;20/02/2026;04/06/2026;
8;30;Topographe;21/01/2026;04/06/2026;
