date_debut_phase;date_fin_prevue_phase;date_fin_reelle_phase;budget_phase;statut_phase;observations;id_projet;id_phase
03/01/2024;02/02/2024;02/02/2024;9000000;Terminée;;1;1
03/02/2024;03/04/2024;03/04/2024;9000000;Terminée;;1;2
04/04/2024;19/05/2024;19/05/2024;9000000;Terminée;;1;3
20/05/2024;17/10/2024;17/10/2024;9000000;Terminée;;1;4
18/10/2024;02/11/2024;02/11/2024;9000000;Terminée;;1;5
06/01/2024;05/02/2024;05/02/2024;25000000;Terminée;;2;1
06/02/2024;06/04/2024;06/04/2024;25000000;Terminée;;2;2
07/04/2024;22/05/2024;22/05/2024;25000000;Terminée;;2;3
23/05/2024;20/10/2024;20/10/2024;25000000;Terminée;;2;4
21/10/2024;05/11/2024;05/11/2024;25000000;Terminée;;2;5
09/01/2024;08/02/2024;08/02/2024;6400000;Terminée;;3;1
09/02/2024;09/04/2024;09/04/2024;6400000;Terminée;;3;2
10/04/2024;25/05/2024;25/05/2024;6400000;Terminée;;3;3
26/05/2024;23/10/2024;23/10/2024;6400000;Terminée;;3;4
24/10/2024;08/11/2024;08/11/2024;6400000;Terminée;;3;5
12/02/2024;13/03/2024;13/03/2024;56000000;Terminée;;4;1
14/03/2024;13/05/2024;13/05/2024;56000000;Terminée;;4;2
14/05/2024;28/06/2024;28/06/2024;56000000;Terminée;;4;3
29/06/2024;26/11/2024;26/11/2024;56000000;Terminée;;4;4
27/11/2024;12/12/2024;12/12/2024;56000000;Terminée;;4;5
15/02/2024;16/03/2024;16/03/2024;11600000;Terminée;;5;1
17/03/2024;16/05/2024;16/05/2024;11600000;Terminée;;5;2
17/05/2024;01/07/2024;01/07/2024;11600000;Terminée;;5;3
02/07/2024;29/11/2024;29/11/2024;11600000;Terminée;;5;4
30/11/2024;15/12/2024;15/12/2024;11600000;Terminée;;5;5
18/02/2024;19/03/2024;19/03/2024;30000000;Terminée;;6;1
20/03/2024;19/05/2024;19/05/2024;30000000;Terminée;;6;2
20/05/2024;04/07/2024;04/07/2024;30000000;Terminée;;6;3
05/07/2024;02/12/2024;02/12/2024;30000000;Terminée;;6;4
03/12/2024;18/12/2024;18/12/2024;30000000;Terminée;;6;5
21/03/2024;20/04/2024;20/04/2024;9600000;Terminée;;7;1
21/04/2024;20/06/2024;20/06/2024;9600000;Terminée;;7;2
21/06/2024;05/08/2024;05/08/2024;9600000;Terminée;;7;3
06/08/2024;03/01/2025;03/01/2025;9600000;Terminée;;7;4
04/01/2025;19/01/2025;19/01/2025;9600000;Terminée;;7;5
24/03/2024;23/04/2024;23/04/2024;37000000;Terminée;;8;1
24/04/2024;23/06/2024;23/06/2024;37000000;Terminée;;8;2
24/06/2024;08/08/2024;08/08/2024;37000000;Terminée;;8;3
09/08/2024;06/01/2025;06/01/2025;37000000;Terminée;;8;4
07/01/2025;22/01/2025;22/01/2025;37000000;Terminée;;8;5
27/03/2024;26/04/2024;26/04/2024;7200000;Terminée;;9;1
27/04/2024;26/06/2024;26/06/2024;7200000;Terminée;;9;2
27/06/2024;11/08/2024;11/08/2024;7200000;Terminée;;9;3
12/08/2024;09/01/2025;09/01/2025;7200000;Terminée;;9;4
10/01/2025;25/01/2025;25/01/2025;7200000;Terminée;;9;5
02/04/2024;02/05/2024;02/05/2024;19000000;Terminée;;10;1
03/05/2024;02/07/2024;02/07/2024;19000000;Terminée;;10;2
03/07/2024;17/08/2024;17/08/2024;19000000;Terminée;;10;3
18/08/2024;15/01/2025;15/01/2025;19000000;Terminée;;10;4
16/01/2025;31/01/2025;31/01/2025;19000000;Terminée;;10;5
05/04/2024;05/05/2024;05/05/2024;8400000;Terminée;;11;1
06/05/2024;05/07/2024;05/07/2024;8400000;Terminée;;11;2
06/07/2024;20/08/2024;20/08/2024;8400000;Terminée;;11;3
21/08/2024;18/01/2025;18/01/2025;8400000;Terminée;;11;4
19/01/2025;03/02/2025;03/02/2025;8400000;Terminée;;11;5
08/04/2024;08/05/2024;08/05/2024;15600000;Terminée;;12;1
09/05/2024;08/07/2024;08/07/2024;15600000;Terminée;;12;2
09/07/2024;23/08/2024;23/08/2024;15600000;Terminée;;12;3
24/08/2024;21/01/2025;21/01/2025;15600000;Terminée;;12;4
22/01/2025;06/02/2025;06/02/2025;15600000;Terminée;;12;5
11/05/2024;10/06/2024;10/06/2024;7000000;Terminée;;13;1
11/06/2024;10/08/2024;10/08/2024;7000000;Terminée;;13;2
11/08/2024;25/09/2024;25/09/2024;7000000;Terminée;;13;3
26/09/2024;23/02/2025;23/02/2025;7000000;Terminée;;13;4
24/02/2025;11/03/2025;11/03/2025;7000000;Terminée;;13;5
14/05/2024;13/06/2024;13/06/2024;36000000;Terminée;;14;1
14/06/2024;13/08/2024;13/08/2024;36000000;Terminée;;14;2
14/08/2024;28/09/2024;28/09/2024;36000000;Terminée;;14;3
29/09/2024;26/02/2025;26/02/2025;36000000;Terminée;;14;4
27/02/2025;14/03/2025;14/03/2025;36000000;Terminée;;14;5
17/05/2024;16/06/2024;16/06/2024;90000000;Terminée;;15;1
17/06/2024;16/08/2024;16/08/2024;90000000;Terminée;;15;2
17/08/2024;01/10/2024;01/10/2024;90000000;Terminée;;15;3
02/10/2024;01/03/2025;01/03/2025;90000000;Terminée;;15;4
02/03/2025;17/03/2025;17/03/2025;90000000;Terminée;;15;5
24/01/2025;23/02/2025;23/02/2025;29000000;Terminée;;16;1
24/02/2025;25/04/2025;25/04/2025;29000000;Terminée;;16;2
26/04/2025;10/06/2025;10/06/2025;29000000;Terminée;;16;3
11/06/2025;08/11/2025;08/11/2025;29000000;Terminée;;16;4
09/11/2025;24/11/2025;24/11/2025;29000000;Terminée;;16;5
01/01/2025;31/01/2025;31/01/2025;9600000;Terminée;;17;1
01/02/2025;02/04/2025;02/04/2025;9600000;Terminée;;17;2
03/04/2025;18/05/2025;18/05/2025;9600000;Terminée;;17;3
19/05/2025;16/10/2025;16/10/2025;9600000;Terminée;;17;4
17/10/2025;01/11/2025;01/11/2025;9600000;Terminée;;17;5
06/02/2025;08/03/2025;08/03/2025;25000000;Terminée;;18;1
09/03/2025;08/05/2025;08/05/2025;25000000;Terminée;;18;2
09/05/2025;23/06/2025;23/06/2025;25000000;Terminée;;18;3
24/06/2025;21/11/2025;21/11/2025;25000000;Terminée;;18;4
22/11/2025;07/12/2025;07/12/2025;25000000;Terminée;;18;5
11/02/2025;13/03/2025;13/03/2025;11000000;Terminée;;19;1
14/03/2025;13/05/2025;13/05/2025;11000000;Terminée;;19;2
14/05/2025;28/06/2025;28/06/2025;11000000;Terminée;;19;3
29/06/2025;26/11/2025;26/11/2025;11000000;Terminée;;19;4
27/11/2025;12/12/2025;12/12/2025;11000000;Terminée;;19;5
16/03/2025;15/04/2025;15/04/2025;9200000;Terminée;;20;1
16/04/2025;15/06/2025;15/06/2025;9200000;Terminée;;20;2
16/06/2025;31/07/2025;31/07/2025;9200000;Terminée;;20;3
01/08/2025;29/12/2025;29/12/2025;9200000;Terminée;;20;4
30/12/2025;14/01/2026;;9200000;En cours;;20;5
21/03/2025;20/04/2025;20/04/2025;10400000;Terminée;;21;1
21/04/2025;20/06/2025;20/06/2025;10400000;Terminée;;21;2
21/06/2025;05/08/2025;05/08/2025;10400000;Terminée;;21;3
06/08/2025;03/01/2026;;10400000;En cours;;21;4
04/01/2026;19/01/2026;;10400000;Non démarrée;;21;5
26/04/2025;26/05/2025;26/05/2025;64000000;Terminée;;22;1
27/05/2025;26/07/2025;26/07/2025;64000000;Terminée;;22;2
27/07/2025;10/09/2025;10/09/2025;64000000;Terminée;;22;3
11/09/2025;08/02/2026;;64000000;En cours;;22;4
09/02/2026;24/02/2026;;64000000;Non démarrée;;22;5
03/04/2025;03/05/2025;03/05/2025;13600000;Terminée;;23;1
04/05/2025;03/07/2025;03/07/2025;13600000;Terminée;;23;2
04/07/2025;18/08/2025;18/08/2025;13600000;Terminée;;23;3
19/08/2025;16/01/2026;;13600000;En cours;;23;4
17/01/2026;01/02/2026;;13600000;Non démarrée;;23;5
08/05/2025;07/06/2025;07/06/2025;19000000;Terminée;;24;1
08/06/2025;07/08/2025;07/08/2025;19000000;Terminée;;24;2
08/08/2025;22/09/2025;22/09/2025;19000000;Terminée;;24;3
23/09/2025;20/02/2026;;19000000;En cours;;24;4
21/02/2026;08/03/2026;;19000000;Non démarrée;;24;5
13/05/2025;12/06/2025;12/06/2025;25000000;Terminée;;25;1
13/06/2025;12/08/2025;12/08/2025;25000000;Terminée;;25;2
13/08/2025;27/09/2025;27/09/2025;25000000;Terminée;;25;3
28/09/2025;25/02/2026;;25000000;En cours;;25;4
26/02/2026;13/03/2026;;25000000;Non démarrée;;25;5
18/06/2025;18/07/2025;18/07/2025;33000000;Terminée;;26;1
19/07/2025;17/09/2025;17/09/2025;33000000;Terminée;;26;2
18/09/2025;02/11/2025;02/11/2025;33000000;Terminée;;26;3
03/11/2025;02/04/2026;;33000000;En cours;;26;4
03/04/2026;18/04/2026;;33000000;Non démarrée;;26;5
23/06/2025;23/07/2025;23/07/2025;7600000;Terminée;;27;1
24/07/2025;22/09/2025;22/09/2025;7600000;Terminée;;27;2
